SCIENTIFIC_NAME,COMMON_NAME,SPECIES_CODE
Strix rufipes,Rufous-legged Owl,rulowl1
Strix chacoensis,Chaco Owl,chaowl1
Strix uralensis,Ural Owl,uraowl1
Strix nebulosa,Great Gray Owl,grgowl
Strix woodfordii,African Wood-Owl,afwowl1
Asio grammicus,Jamaican Owl,jamowl1
Asio otus,Long-eared Owl,loeowl
Asio abyssinicus,Abyssinian Owl,aleowl1
Asio madagascariensis,Madagascar Owl,mleowl1
Asio clamator,Striped Owl,strowl1
Asio stygius,Stygian Owl,styowl1
Asio flammeus,Short-eared Owl,sheowl
Asio capensis,Marsh Owl,marowl2
Asio solomonensis,Fearful Owl,feaowl1
Aegolius funereus,Boreal Owl,borowl
Aegolius acadicus,Northern Saw-whet Owl,nswowl
Aegolius gradyi,Bermuda Saw-whet Owl,bswowl1
Aegolius ridgwayi,Unspotted Saw-whet Owl,uswowl1
Aegolius harrisii,Buff-fronted Owl,bufowl1
Ninox rufa,Rufous Owl,rufowl2
Ninox strenua,Powerful Owl,powowl1
Ninox connivens,Barking Owl,barowl1
Ninox rudolfi,Sumba Boobook,sumboo1
Ninox affinis,Andaman Boobook,andhao1
Ninox boobook,Australian Boobook,souboo8
Ninox rotiensis,Rote Boobook,souboo4
Ninox fusca,Timor Boobook,souboo5
Ninox plesseni,Alor Boobook,souboo6
Ninox leucopsis,Tasmanian Boobook,souboo3
Ninox novaeseelandiae,Morepork,morepo2
Ninox albifacies,Laughing Owl,lauowl1
Ninox sumbaensis,Least Boobook,lishao1
Ninox scutulata,Brown Boobook,brnhao1
Ninox obscura,Hume's Boobook,brnhao3
Ninox japonica,Northern Boobook,norboo1
Ninox randi,Chocolate Boobook,choboo1
Ninox philippensis,Luzon Boobook,phihao1
Ninox spilocephala,Mindanao Boobook,minboo1
Ninox mindorensis,Mindoro Boobook,minboo2
Ninox spilonotus,Romblon Boobook,romboo1
Ninox rumseyi,Cebu Boobook,cebboo1
Ninox leventisi,Camiguin Boobook,camboo1
Ninox reyi,Sulu Boobook,sulboo1
Ninox ochracea,Ochre-bellied Boobook,ocbhao1
Ninox burhani,Togian Boobook,toghao1
Ninox ios,Cinnabar Boobook,cinhao1
Ninox hypogramma,Halmahera Boobook,molhao3
Ninox forbesi,Tanimbar Boobook,molhao2
Ninox squamipila,Seram Boobook,hanboo2
Ninox hantu,Buru Boobook,hanboo1
Ninox natalis,Christmas Island Boobook,chihao1
Ninox theomacha,Papuan Boobook,junhao1
Ninox meeki,Manus Boobook,manhao1
Ninox punctulata,Speckled Boobook,spehao1
Ninox variegata,Bismarck Boobook,bishao1
Ninox odiosa,New Britain Boobook,nebhao1
Uroglaux dimorpha,Papuan Owl,paphao1
Colius striatus,Speckled Mousebird,spemou2
Colius leucocephalus,White-headed Mousebird,whhmou1
Colius castanotus,Red-backed Mousebird,rebmou1
Colius colius,White-backed Mousebird,whbmou1
Urocolius macrourus,Blue-naped Mousebird,blnmou1
Urocolius indicus,Red-faced Mousebird,refmou1
Leptosomus discolor,Cuckoo-roller,cuckoo1
Apaloderma narina,Narina Trogon,nartro1
Apaloderma aequatoriale,Bare-cheeked Trogon,bactro1
Apaloderma vittatum,Bar-tailed Trogon,battro1
Apalharpactes reinwardtii,Javan Trogon,javtro1
Apalharpactes mackloti,Sumatran Trogon,sumtro1
Harpactes oreskios,Orange-breasted Trogon,orbtro2
Harpactes fasciatus,Malabar Trogon,maltro1
Harpactes kasumba,Red-naped Trogon,rentro1
Harpactes diardii,Diard's Trogon,diatro1
Harpactes ardens,Philippine Trogon,phitro1
Harpactes whiteheadi,Whitehead's Trogon,whitro1
Harpactes orrhophaeus,Cinnamon-rumped Trogon,cirtro1
Harpactes duvaucelii,Scarlet-rumped Trogon,scrtro1
Harpactes erythrocephalus,Red-headed Trogon,rehtro1
Harpactes wardi,Ward's Trogon,wartro1
Euptilotis neoxenus,Eared Quetzal,earque
Pharomachrus pavoninus,Pavonine Quetzal,pavque1
Pharomachrus auriceps,Golden-headed Quetzal,gohque1
Pharomachrus mocinno,Resplendent Quetzal,resque1
Pharomachrus fulgidus,White-tipped Quetzal,whtque1
Pharomachrus antisianus,Crested Quetzal,creque1
Priotelus temnurus,Cuban Trogon,cubtro1
Priotelus roseigaster,Hispaniolan Trogon,histro1
Trogon clathratus,Lattice-tailed Trogon,lattro1
Trogon massena,Slaty-tailed Trogon,slttro1
Trogon comptus,Blue-tailed Trogon,buttro1
Trogon mesurus,Ecuadorian Trogon,bkttro2
Trogon melanurus,Black-tailed Trogon,blttro1
Trogon melanocephalus,Black-headed Trogon,blhtro1
Trogon citreolus,Citreoline Trogon,cittro1
Trogon chionurus,White-tailed Trogon,whttro1
Trogon viridis,Green-backed Trogon,gnbtro1
Trogon bairdii,Baird's Trogon,baitro1
Trogon caligatus,Gartered Violaceous Trogon,gartro1
Trogon violaceus,Guianan Violaceous Trogon,viotro2
Trogon ramonianus,Amazonian Violaceous Trogon,viotro3
Trogon curucui,Blue-crowned Trogon,blctro1
Trogon surrucura,Surucua Trogon,surtro1
Trogon tenellus,Graceful Black-throated Trogon,bkttro7
Trogon cupreicauda,Choco Black-throated Trogon,bkttro5
Trogon rufus,Amazonian Black-throated Trogon,bkttro6
Trogon chrysochloros,Atlantic Black-throated Trogon,bkttro4
Trogon ambiguus,Coppery-tailed Trogon,eletro1
Trogon elegans,Elegant Trogon,eletro2
Trogon mexicanus,Mountain Trogon,moutro1
Trogon collaris,Collared Trogon,coltro1
Trogon personatus,Masked Trogon,mastro1
Upupa epops,Common Hoopoe,hoopoe
Upupa marginata,Madagascar Hoopoe,madhoo1
Upupa antaios,St. Helena Hoopoe,sthhoo1
Phoeniculus purpureus,Green Woodhoopoe,grewoo2
Phoeniculus damarensis,Violet Woodhoopoe,viowoo1
Phoeniculus somaliensis,Black-billed Woodhoopoe,blbwoo2
Phoeniculus bollei,White-headed Woodhoopoe,whhwoo1
Rhinopomastus castaneiceps,Forest Scimitarbill,forwoo1
Rhinopomastus aterrimus,Black Scimitarbill,blsbil1
Rhinopomastus cyanomelas,Common Scimitarbill,cosbil1
Rhinopomastus minor,Abyssinian Scimitarbill,absbil1
Bucorvus abyssinicus,Abyssinian Ground-Hornbill,noghor1
Bucorvus leadbeateri,Southern Ground-Hornbill,soghor1
Lophoceros camurus,Red-billed Dwarf Hornbill,rbdhor1
Lophoceros alboterminatus,Crowned Hornbill,crohor1
Lophoceros bradfieldi,Bradfield's Hornbill,brahor1
Lophoceros semifasciatus,West African Pied Hornbill,afphor2
Lophoceros fasciatus,Congo Pied Hornbill,afphor3
Lophoceros hemprichii,Hemprich's Hornbill,hemhor1
Lophoceros nasutus,African Gray Hornbill,afghor1
Lophoceros pallidirostris,Pale-billed Hornbill,pabhor1
Tockus flavirostris,Eastern Yellow-billed Hornbill,eybhor1
Tockus leucomelas,Southern Yellow-billed Hornbill,sybhor1
Tockus jacksoni,Jackson's Hornbill,jachor1
Tockus deckeni,Von der Decken's Hornbill,vddhor1
Tockus monteiri,Monteiro's Hornbill,monhor1
Tockus rufirostris,Southern Red-billed Hornbill,srbhor1
Tockus damarensis,Damara Red-billed Hornbill,drbhor1
Tockus ruahae,Tanzanian Red-billed Hornbill,trbhor1
Tockus kempi,Western Red-billed Hornbill,wrbhor2
Tockus erythrorhynchus,Northern Red-billed Hornbill,rebhor1
Berenicornis comatus,White-crowned Hornbill,whchor2
Horizocerus albocristatus,Western Long-tailed Hornbill,whchor1
Horizocerus cassini,Eastern Long-tailed Hornbill,whchor4
Horizocerus hartlaubi,Western Dwarf Hornbill,bkdhor1
Horizocerus granti,Eastern Dwarf Hornbill,bkdhor2
Ceratogymna elata,Yellow-casqued Hornbill,yechor1
Ceratogymna atrata,Black-casqued Hornbill,blchor1
Bycanistes brevis,Silvery-cheeked Hornbill,sichor1
Bycanistes subcylindricus,Black-and-white-casqued Hornbill,bawhor2
Bycanistes cylindricus,Brown-cheeked Hornbill,bnchor1
Bycanistes albotibialis,White-thighed Hornbill,whthor1
Bycanistes bucinator,Trumpeter Hornbill,truhor1
Bycanistes fistulator,Piping Hornbill,piphor1
Rhinoplax vigil,Helmeted Hornbill,helhor1
Buceros hydrocorax,Rufous Hornbill,rufhor1
Buceros rhinoceros,Rhinoceros Hornbill,rhihor1
Buceros bicornis,Great Hornbill,grehor1
Anorrhinus galeritus,Bushy-crested Hornbill,buchor1
Anorrhinus austeni,Brown Hornbill,brnhor1
Anorrhinus tickelli,Rusty-cheeked Hornbill,ruchor1
Ocyceros birostris,Indian Gray Hornbill,inghor2
Ocyceros griseus,Malabar Gray Hornbill,maghor2
Ocyceros gingalensis,Sri Lanka Gray Hornbill,ceghor1
Anthracoceros malayanus,Black Hornbill,blahor1
Anthracoceros montani,Sulu Hornbill,sulhor2
Anthracoceros coronatus,Malabar Pied-Hornbill,maphor1
Anthracoceros albirostris,Oriental Pied-Hornbill,orphor1
Anthracoceros marchei,Palawan Hornbill,palhor1
Aceros nipalensis,Rufous-necked Hornbill,runhor1
Rhyticeros cassidix,Knobbed Hornbill,knohor1
Rhyticeros everetti,Sumba Hornbill,sumhor1
Rhyticeros undulatus,Wreathed Hornbill,wrehor1
Rhyticeros subruficollis,Plain-pouched Hornbill,plphor1
Rhyticeros narcondami,Narcondam Hornbill,narhor1
Rhyticeros plicatus,Blyth's Hornbill,blyhor1
Rhabdotorrhinus exarhatus,Sulawesi Hornbill,sulhor1
Rhabdotorrhinus corrugatus,Wrinkled Hornbill,wrihor1
Rhabdotorrhinus waldeni,Writhe-billed Hornbill,wrbhor1
Rhabdotorrhinus leucocephalus,Writhed Hornbill,wrihor2
Penelopides panini,Visayan Hornbill,tarhor1
Penelopides manillae,Luzon Hornbill,luzhor1
Penelopides mindorensis,Mindoro Hornbill,minhor2
Penelopides samarensis,Samar Hornbill,samhor1
Penelopides affinis,Mindanao Hornbill,minhor1
Nyctyornis amictus,Red-bearded Bee-eater,rbbeat1
Nyctyornis athertoni,Blue-bearded Bee-eater,bbbeat1
Meropogon forsteni,Purple-bearded Bee-eater,pbbeat1
Merops gularis,Black Bee-eater,blbeat1
Merops mentalis,Blue-moustached Bee-eater,bumbee1
Merops muelleri,Blue-headed Bee-eater,bhbeat2
Merops bulocki,Red-throated Bee-eater,rtbeat1
Merops bullockoides,White-fronted Bee-eater,wfbeat1
Merops pusillus,Little Bee-eater,libeat1
Merops variegatus,Blue-breasted Bee-eater,bbbeat2
Merops lafresnayii,Ethiopian Bee-eater,bubbee2
Merops oreobates,Cinnamon-chested Bee-eater,ccbeat1
Merops hirundineus,Swallow-tailed Bee-eater,stbeat1
Merops breweri,Black-headed Bee-eater,bhbeat1
Merops revoilii,Somali Bee-eater,sobeat1
Merops albicollis,White-throated Bee-eater,wtbeat1
Merops viridissimus,African Green Bee-eater,grnbee1
Merops cyanophrys,Arabian Green Bee-eater,grnbee2
Merops orientalis,Asian Green Bee-eater,grnbee3
Merops boehmi,Böhm's Bee-eater,bobeat1
Merops viridis,Blue-throated Bee-eater,btbeat2
Merops americanus,Rufous-crowned Bee-eater,rucbee1
Merops persicus,Blue-cheeked Bee-eater,bcbeat1
Merops superciliosus,Olive Bee-eater,mabeat1
Merops philippinus,Blue-tailed Bee-eater,btbeat1
Merops ornatus,Rainbow Bee-eater,rabeat1
Merops apiaster,European Bee-eater,eubeat1
Merops leschenaulti,Chestnut-headed Bee-eater,chbeat1
Merops malimbicus,Rosy Bee-eater,robeat1
Merops nubicus,Northern Carmine Bee-eater,ncbeat1
Merops nubicoides,Southern Carmine Bee-eater,scbeat1
Todus multicolor,Cuban Tody,cubtod1
Todus subulatus,Broad-billed Tody,brbtod1
Todus angustirostris,Narrow-billed Tody,nabtod1
Todus todus,Jamaican Tody,jamtod1
Todus mexicanus,Puerto Rican Tody,purtod1
Hylomanes momotula,Tody Motmot,todmot1
Aspatha gularis,Blue-throated Motmot,bltmot1
Momotus mexicanus,Russet-crowned Motmot,rucmot1
Momotus coeruliceps,Blue-capped Motmot,bucmot1
Momotus lessonii,Lesson's Motmot,bucmot2
Momotus subrufescens,Whooping Motmot,bucmot3
Momotus bahamensis,Trinidad Motmot,trimot1
Momotus momota,Amazonian Motmot,bucmot4
Momotus aequatorialis,Andean Motmot,higmot1
Baryphthengus martii,Rufous Motmot,rufmot1
Baryphthengus ruficapillus,Rufous-capped Motmot,rucmot2
Electron carinatum,Keel-billed Motmot,kebmot1
Electron platyrhynchum,Broad-billed Motmot,brbmot1
Eumomota superciliosa,Turquoise-browed Motmot,tubmot1
Alcedo hercules,Blyth's Kingfisher,blykin1
Alcedo atthis,Common Kingfisher,comkin1
Alcedo semitorquata,Half-collared Kingfisher,hackin1
Alcedo quadribrachys,Shining-blue Kingfisher,shbkin1
Alcedo meninting,Blue-eared Kingfisher,blekin1
Alcedo peninsulae,Malaysian Blue-banded Kingfisher,bubkin1
Alcedo euryzona,Javan Blue-banded Kingfisher,bubkin2
Alcedo coerulescens,Small Blue Kingfisher,smbkin1
Ceyx azureus,Azure Kingfisher,azukin1
Ceyx websteri,Bismarck Kingfisher,biskin1
Ceyx cyanopectus,Indigo-banded Kingfisher,inbkin2
Ceyx flumenicola,Northern Silvery-Kingfisher,norsik1
Ceyx argentatus,Southern Silvery-Kingfisher,silkin1
Ceyx pusillus,Little Kingfisher,litkin1
Ceyx erithaca,Black-backed Dwarf-Kingfisher,bkbkin1
Ceyx rufidorsa,Rufous-backed Dwarf-Kingfisher,rubkin1
Ceyx melanurus,Philippine Dwarf-Kingfisher,phikin1
Ceyx sangirensis,Sangihe Dwarf-Kingfisher,suldwk1
Ceyx fallax,Sulawesi Dwarf-Kingfisher,sulkin1
Ceyx margarethae,Dimorphic Dwarf-Kingfisher,vardwk1
Ceyx wallacii,Sula Dwarf-Kingfisher,vardwk2
Ceyx lepidus,Moluccan Dwarf-Kingfisher,varkin1
Ceyx cajeli,Buru Dwarf-Kingfisher,vardwk5
Ceyx solitarius,Papuan Dwarf-Kingfisher,vardwk6
Ceyx dispar,Manus Dwarf-Kingfisher,vardwk7
Ceyx mulcatus,New Ireland Dwarf-Kingfisher,vardwk8
Ceyx sacerdotis,New Britain Dwarf-Kingfisher,vardwk9
Ceyx collectoris,New Georgia Dwarf-Kingfisher,vardwk11
Ceyx meeki,North Solomons Dwarf-Kingfisher,nosdwk1
Ceyx nigromaxilla,Guadalcanal Dwarf-Kingfisher,guadwk1
Ceyx gentianus,Makira Dwarf-Kingfisher,vardwk15
Corythornis cristatus,Malachite Kingfisher,malkin1
Corythornis vintsioides,Malagasy Kingfisher,malkin2
Corythornis leucogaster,White-bellied Kingfisher,whbkin1
Corythornis madagascariensis,Madagascar Pygmy Kingfisher,mapkin1
Ispidina picta,African Pygmy Kingfisher,afpkin1
Ispidina lecontei,African Dwarf Kingfisher,dwakin1
Lacedo pulchella,Banded Kingfisher,bankin1
Dacelo novaeguineae,Laughing Kookaburra,laukoo1
Dacelo leachii,Blue-winged Kookaburra,blwkoo1
Dacelo tyro,Spangled Kookaburra,spakoo1
Dacelo gaudichaud,Rufous-bellied Kookaburra,rubkoo1
Dacelo rex,Shovel-billed Kookaburra,shbkoo1
Cittura sanghirensis,Sangihe Lilac Kingfisher,lickin1
Cittura cyanotis,Sulawesi Lilac Kingfisher,lickin2
Pelargopsis amauroptera,Brown-winged Kingfisher,bnwkin1
Pelargopsis capensis,Stork-billed Kingfisher,stbkin1
Pelargopsis melanorhyncha,Great-billed Kingfisher,blbkin1
Halcyon coromanda,Ruddy Kingfisher,rudkin1
Halcyon badia,Chocolate-backed Kingfisher,chbkin2
Halcyon smyrnensis,White-throated Kingfisher,whtkin2
Halcyon gularis,Brown-breasted Kingfisher,bnbkin1
Halcyon leucocephala,Gray-headed Kingfisher,gyhkin1
Halcyon pileata,Black-capped Kingfisher,blckin1
Halcyon cyanoventris,Javan Kingfisher,javkin1
Halcyon senegalensis,Woodland Kingfisher,wookin1
Halcyon senegaloides,Mangrove Kingfisher,mankin2
Halcyon malimbica,Blue-breasted Kingfisher,blbkin4
Halcyon albiventris,Brown-hooded Kingfisher,brhkin1
Halcyon chelicuti,Striped Kingfisher,strkin1
Todiramphus nigrocyaneus,Blue-black Kingfisher,blbkin3
Todiramphus winchelli,Rufous-lored Kingfisher,rulkin1
Todiramphus diops,Blue-and-white Kingfisher,bawkin1
Todiramphus lazuli,Lazuli Kingfisher,lazkin1
Todiramphus pyrrhopygius,Red-backed Kingfisher,rebkin2
Todiramphus macleayii,Forest Kingfisher,forkin1
Todiramphus albonotatus,New Britain Kingfisher,nebkin1
Todiramphus leucopygius,Ultramarine Kingfisher,ultkin1
Todiramphus farquhari,Vanuatu Kingfisher,chbkin1
Todiramphus godeffroyi,Marquesan Kingfisher,markin2
Todiramphus ruficollaris,Mewing Kingfisher,mankin1
Todiramphus veneratus,Society Kingfisher,tahkin1
Todiramphus gambieri,Tuamotu Kingfisher,tuakin2
Todiramphus tutus,Chattering Kingfisher,chakin2
Todiramphus sacer,Pacific Kingfisher,packin1
Todiramphus pelewensis,Palau Kingfisher,mickin4
Todiramphus cinnamominus,Guam Kingfisher,mickin1
Todiramphus reichenbachii,Pohnpei Kingfisher,mickin5
Todiramphus recurvirostris,Flat-billed Kingfisher,flbkin1
Todiramphus colonus,Colonist Kingfisher,colkin17
Todiramphus sordidus,Torresian Kingfisher,colkin9
Todiramphus sanctus,Sacred Kingfisher,sackin1
Todiramphus chloris,Collared Kingfisher,colkin1
Todiramphus saurophagus,Beach Kingfisher,beakin2
Todiramphus albicilla,Mariana Kingfisher,colkin2
Todiramphus tristrami,Melanesian Kingfisher,melkin1
Todiramphus funebris,Sombre Kingfisher,somkin1
Todiramphus enigma,Talaud Kingfisher,talkin1
Todiramphus australasia,Cinnamon-banded Kingfisher,cibkin1
Caridonax fulgidus,White-rumped Kingfisher,whrkin1
Melidora macrorrhina,Hook-billed Kingfisher,hobkin1
Actenoides bougainvillei,Moustached Kingfisher,moukin2
Actenoides concretus,Rufous-collared Kingfisher,ruckin1
Actenoides lindsayi,Spotted Kingfisher,spokin1
Actenoides hombroni,Blue-capped Kingfisher,blckin2
Actenoides monachus,Green-backed Kingfisher,grbkin1
Actenoides princeps,Scaly-breasted Kingfisher,scakin1
Syma torotoro,Yellow-billed Kingfisher,yebkin1
Syma megarhyncha,Mountain Kingfisher,moukin1
Tanysiptera hydrocharis,Little Paradise-Kingfisher,lipkin1
Tanysiptera galatea,Common Paradise-Kingfisher,copkin1
Tanysiptera ellioti,Kofiau Paradise-Kingfisher,kopkin1
Tanysiptera riedelii,Biak Paradise-Kingfisher,bipkin1
Tanysiptera carolinae,Numfor Paradise-Kingfisher,nupkin1
Tanysiptera nympha,Red-breasted Paradise-Kingfisher,rbpkin1
Tanysiptera danae,Brown-headed Paradise-Kingfisher,bhpkin1
Tanysiptera sylvia,Buff-breasted Paradise-Kingfisher,bubpak1
Tanysiptera nigriceps,Black-capped Paradise-Kingfisher,bubpak2
Megaceryle maxima,Giant Kingfisher,giakin3
Megaceryle lugubris,Crested Kingfisher,crekin1
Megaceryle torquata,Ringed Kingfisher,rinkin1
Megaceryle alcyon,Belted Kingfisher,belkin1
Ceryle rudis,Pied Kingfisher,piekin1
Chloroceryle amazona,Amazon Kingfisher,amakin1
Chloroceryle aenea,American Pygmy Kingfisher,ampkin1
Chloroceryle americana,Green Kingfisher,grnkin
Chloroceryle inda,Green-and-rufous Kingfisher,garkin1
Coracias garrulus,European Roller,eurrol1
Coracias abyssinicus,Abyssinian Roller,abyrol2
